code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
1357.T,1,0.8,1.5,0.6,0.02,0.02,0.17475728155339806,0.11428571428571428,103
1357.T,1,0.8,1.5,0.6,0.02,0.05,0.1724137931034483,0.1111111111111111,87
1357.T,1,0.8,1.5,0.6,0.05,0.02,0.18,0.11851851851851852,100
1357.T,1,0.8,1.5,0.6,0.05,0.05,0.17857142857142858,0.11594202898550725,84
1357.T,1,0.8,1.5,0.8,0.02,0.02,0.18181818181818182,0.12000000000000001,99
1357.T,1,0.8,1.5,0.8,0.02,0.05,0.17857142857142858,0.11594202898550725,84
1357.T,1,0.8,1.5,0.8,0.05,0.02,0.1875,0.12467532467532468,96
1357.T,1,0.8,1.5,0.8,0.05,0.05,0.18518518518518517,0.12121212121212122,81
1357.T,1,0.8,1.5,1.0,0.02,0.02,0.1978021978021978,0.13333333333333333,91
1357.T,1,0.8,1.5,1.0,0.02,0.05,0.19480519480519481,0.12903225806451613,77
1357.T,1,0.8,1.5,1.0,0.05,0.02,0.20454545454545456,0.1391304347826087,88
1357.T,1,0.8,1.5,1.0,0.05,0.05,0.20270270270270271,0.13559322033898305,74
1357.T,1,0.8,2.0,0.6,0.02,0.02,0.2524271844660194,0.13866666666666666,103
1357.T,1,0.8,2.0,0.6,0.02,0.05,0.26436781609195403,0.14603174603174604,87
1357.T,1,0.8,2.0,0.6,0.05,0.02,0.26,0.14444444444444446,100
1357.T,1,0.8,2.0,0.6,0.05,0.05,0.27380952380952384,0.15333333333333335,84
1357.T,1,0.8,2.0,0.8,0.02,0.02,0.26262626262626265,0.14647887323943662,99
1357.T,1,0.8,2.0,0.8,0.02,0.05,0.27380952380952384,0.15333333333333335,84
1357.T,1,0.8,2.0,0.8,0.05,0.02,0.2708333333333333,0.15294117647058825,96
1357.T,1,0.8,2.0,0.8,0.05,0.05,0.2839506172839506,0.16140350877192985,81
1357.T,1,0.8,2.0,1.0,0.02,0.02,0.26373626373626374,0.1476923076923077,91
1357.T,1,0.8,2.0,1.0,0.02,0.05,0.2727272727272727,0.15272727272727274,77
1357.T,1,0.8,2.0,1.0,0.05,0.02,0.2727272727272727,0.1548387096774194,88
1357.T,1,0.8,2.0,1.0,0.05,0.05,0.28378378378378377,0.16153846153846155,74
1357.T,1,1.0,1.5,0.6,0.02,0.02,0.1650485436893204,0.1349206349206349,103
1357.T,1,1.0,1.5,0.6,0.02,0.05,0.16091954022988506,0.12962962962962962,87
1357.T,1,1.0,1.5,0.6,0.05,0.02,0.17,0.13991769547325103,100
1357.T,1,1.0,1.5,0.6,0.05,0.05,0.16666666666666666,0.13526570048309178,84
1357.T,1,1.0,1.5,0.8,0.02,0.02,0.1717171717171717,0.14166666666666666,99
1357.T,1,1.0,1.5,0.8,0.02,0.05,0.16666666666666666,0.13526570048309178,84
1357.T,1,1.0,1.5,0.8,0.05,0.02,0.17708333333333334,0.1471861471861472,96
1357.T,1,1.0,1.5,0.8,0.05,0.05,0.1728395061728395,0.1414141414141414,81
1357.T,1,1.0,1.5,1.0,0.02,0.02,0.18681318681318682,0.1574074074074074,91
1357.T,1,1.0,1.5,1.0,0.02,0.05,0.18181818181818182,0.15053763440860216,77
1357.T,1,1.0,1.5,1.0,0.05,0.02,0.19318181818181818,0.1642512077294686,88
1357.T,1,1.0,1.5,1.0,0.05,0.05,0.1891891891891892,0.15819209039548024,74
1357.T,1,1.0,2.0,0.6,0.02,0.02,0.23300970873786409,0.16,103
1357.T,1,1.0,2.0,0.6,0.02,0.05,0.2413793103448276,0.16666666666666666,87
1357.T,1,1.0,2.0,0.6,0.05,0.02,0.24,0.16666666666666666,100
1357.T,1,1.0,2.0,0.6,0.05,0.05,0.25,0.175,84
1357.T,1,1.0,2.0,0.8,0.02,0.02,0.24242424242424243,0.16901408450704225,99
1357.T,1,1.0,2.0,0.8,0.02,0.05,0.25,0.175,84
1357.T,1,1.0,2.0,0.8,0.05,0.02,0.25,0.17647058823529413,96
1357.T,1,1.0,2.0,0.8,0.05,0.05,0.25925925925925924,0.18421052631578946,81
1357.T,1,1.0,2.0,1.0,0.02,0.02,0.25274725274725274,0.17692307692307693,91
1357.T,1,1.0,2.0,1.0,0.02,0.05,0.2597402597402597,0.18181818181818182,77
1357.T,1,1.0,2.0,1.0,0.05,0.02,0.26136363636363635,0.18548387096774194,88
1357.T,1,1.0,2.0,1.0,0.05,0.05,0.2702702702702703,0.19230769230769232,74
1357.T,1,1.2,1.5,0.6,0.02,0.02,0.1650485436893204,0.16190476190476188,103
1357.T,1,1.2,1.5,0.6,0.02,0.05,0.16091954022988506,0.15555555555555556,87
1357.T,1,1.2,1.5,0.6,0.05,0.02,0.17,0.16790123456790124,100
1357.T,1,1.2,1.5,0.6,0.05,0.05,0.16666666666666666,0.16231884057971016,84
1357.T,1,1.2,1.5,0.8,0.02,0.02,0.1717171717171717,0.16999999999999998,99
1357.T,1,1.2,1.5,0.8,0.02,0.05,0.16666666666666666,0.16231884057971016,84
1357.T,1,1.2,1.5,0.8,0.05,0.02,0.17708333333333334,0.1766233766233766,96
1357.T,1,1.2,1.5,0.8,0.05,0.05,0.1728395061728395,0.1696969696969697,81
1357.T,1,1.2,1.5,1.0,0.02,0.02,0.18681318681318682,0.18888888888888888,91
1357.T,1,1.2,1.5,1.0,0.02,0.05,0.18181818181818182,0.1806451612903226,77
1357.T,1,1.2,1.5,1.0,0.05,0.02,0.19318181818181818,0.1971014492753623,88
1357.T,1,1.2,1.5,1.0,0.05,0.05,0.1891891891891892,0.18983050847457628,74
1357.T,1,1.2,2.0,0.6,0.02,0.02,0.23300970873786409,0.19199999999999998,103
1357.T,1,1.2,2.0,0.6,0.02,0.05,0.2413793103448276,0.19999999999999998,87
1357.T,1,1.2,2.0,0.6,0.05,0.02,0.24,0.19999999999999998,100
1357.T,1,1.2,2.0,0.6,0.05,0.05,0.25,0.21,84
1357.T,1,1.2,2.0,0.8,0.02,0.02,0.24242424242424243,0.20281690140845068,99
1357.T,1,1.2,2.0,0.8,0.02,0.05,0.25,0.21,84
1357.T,1,1.2,2.0,0.8,0.05,0.02,0.25,0.2117647058823529,96
1357.T,1,1.2,2.0,0.8,0.05,0.05,0.25925925925925924,0.22105263157894736,81
1357.T,1,1.2,2.0,1.0,0.02,0.02,0.25274725274725274,0.21230769230769228,91
1357.T,1,1.2,2.0,1.0,0.02,0.05,0.2597402597402597,0.21818181818181817,77
1357.T,1,1.2,2.0,1.0,0.05,0.02,0.26136363636363635,0.2225806451612903,88
1357.T,1,1.2,2.0,1.0,0.05,0.05,0.2702702702702703,0.23076923076923078,74
1357.T,2,0.8,1.5,0.6,0.02,0.02,0.18548387096774194,0.12266666666666669,124
1357.T,2,0.8,1.5,0.6,0.02,0.05,0.2018348623853211,0.13643410852713178,109
1357.T,2,0.8,1.5,0.6,0.05,0.02,0.19327731092436976,0.12912280701754386,119
1357.T,2,0.8,1.5,0.6,0.05,0.05,0.21153846153846154,0.14485596707818932,104
1357.T,2,0.8,1.5,0.8,0.02,0.02,0.19008264462809918,0.12646048109965638,121
1357.T,2,0.8,1.5,0.8,0.02,0.05,0.205607476635514,0.13968253968253969,107
1357.T,2,0.8,1.5,0.8,0.05,0.02,0.19658119658119658,0.13189964157706094,117
1357.T,2,0.8,1.5,0.8,0.05,0.05,0.21359223300970873,0.14666666666666667,103
1357.T,2,0.8,1.5,1.0,0.02,0.02,0.2,0.13479853479853482,115
1357.T,2,0.8,1.5,1.0,0.02,0.05,0.21153846153846154,0.14485596707818932,104
1357.T,2,0.8,1.5,1.0,0.05,0.02,0.2072072072072072,0.1409961685823755,111
1357.T,2,0.8,1.5,1.0,0.05,0.05,0.22,0.1523809523809524,100
1357.T,2,0.8,2.0,0.6,0.02,0.02,0.25,0.13478260869565217,124
